id,candidato,criado em,texto,sentimento
0,Bolsonaro,Tue Aug 23 23:59:38 +0000 2022,Chamou o povo que vende madeira de burro ! #CiroNoJN #BolsonaroNoJN #globolixo,
1,Bolsonaro,Tue Aug 23 23:59:11 +0000 2022,"""MIRMÃ"" Povo reclama que Bolsonaro nao sabe falar ,pelo menos na escola militar ensina o formado nao usar gírias in… https://t.co/wUBsEfJRRJ",1
2,Bolsonaro,Tue Aug 23 23:58:01 +0000 2022,"""Mirmã "" ..... Ah para. A máscara caiu aí. Fala bonita nao enche barriga #CiroNoJN #BolsonaroNoJN #globolixo",
3,Bolsonaro,Tue Aug 23 23:57:49 +0000 2022,"Pesquise sobre:
- Nicarágua (esquerda)
- Argentina (esquerda)
- Colômbia (esquerda)
- Dario Messer (doleiro)… https://t.co/8DHUTvekKY",
4,Bolsonaro,Tue Aug 23 23:56:58 +0000 2022,"' Ciro ""falastrão"" Gomes !!

#CiroNoJN 
#BonnerMentiroso 
#GloboLixo 

👇🏾👇🏾👇🏾

#BolsonaroNoJN… https://t.co/C3NMFbafO5",
5,Bolsonaro,Tue Aug 23 23:55:34 +0000 2022,"🇧🇷 BOLSONARO X GLOBO 😈

@jairbolsonaro 
#BolsonaroNoJN 
@CanalHipocritas https://t.co/31IJx6Z5Sh",
6,Bolsonaro,Tue Aug 23 23:55:07 +0000 2022,So hoje eu já fui pra escola fui pro hospital fiz tarefa estudei e agora tô estudando mais ESTUDANDO SALMO oq que e… https://t.co/nVogRdRTul,
7,Bolsonaro,Tue Aug 23 23:54:46 +0000 2022,"Canal @taoquei1 (23/8/2022)

""#BolsonaroNoJN - Foi bem melhor do que você pensa""

Melhores Momentos… https://t.co/yOj24uwgCY",
8,Bolsonaro,Tue Aug 23 23:54:45 +0000 2022,Homenagem ao João Doria ????? Tá de brincadeira . É DINHEIRO FEDERAL AMIGOOOOOO #CiroNoJN #BolsonaroNoJN #globolixo,
9,Bolsonaro,Tue Aug 23 23:52:12 +0000 2022,"Jogo da Discórdia do bbb22 atacando o Arthur.

#CiroNoJN #BolsonaroNoJN #SimoneNoJN atacar o Lula.
#TebetNoJN

Ou seja

#JN #JornalNacional",
10,Bolsonaro,Tue Aug 23 23:51:59 +0000 2022,"Se vcs tao acreditando no Ciro, é atestado de muita carência e falta de representatividade mesmo... se valorizem br… https://t.co/vV6Zat3jw9",
11,Bolsonaro,Tue Aug 23 23:51:32 +0000 2022,"Que diferença absurda da entrevista de ontem para essa de hoje. Se é para apoiar e votar em um liberal de centro, m… https://t.co/KwNxfILUEh",
12,Bolsonaro,Tue Aug 23 23:51:17 +0000 2022,"Parabéns Bonner, vc deixou o entrevistado falar hj... #CiroNoJN #BolsonaroNoJN #globolixo",
13,Bolsonaro,Tue Aug 23 23:50:53 +0000 2022,Globe nem finge que ontem foi completamente agressiva e hj deixa o entrevistado falar #CiroNoJN #BolsonaroNoJN #globolixo,
14,Bolsonaro,Tue Aug 23 23:50:08 +0000 2022,Intelectuais de economia social se reviram no túmulo com o Ciro #CiroNoJN #BolsonaroNoJN #globolixo,
15,Bolsonaro,Tue Aug 23 23:49:29 +0000 2022,Propostas inverificas !! Nao existe #CiroNoJN #BolsonaroNoJN #globolixo,
16,Bolsonaro,Tue Aug 23 23:48:38 +0000 2022,Será que sou o único que não está observando os discursos políticos neste primeiro momento das disputas políticas?… https://t.co/m5ypoizV8D,
17,Bolsonaro,Tue Aug 23 23:47:29 +0000 2022,"Bonner e Renata não interrompem as falas de Ciro Gomes e tratam o candidato com toda cortesia.
A intenção de prejud… https://t.co/aYr3W9Yuph",
18,Bolsonaro,Tue Aug 23 23:47:23 +0000 2022,"Seu povo viu tudo🇧🇷❤ e atesta  o que o senhor postou abaixo, Presidente🤝🇧🇷❤
#BolsonaroReeleitoEm2022 
#BolsonaroNoJN https://t.co/kYlv4n0RXo",
19,Bolsonaro,Tue Aug 23 23:47:14 +0000 2022,"Bolsonaro afirma que dará um beijo no Bonner hoje #shorts https://t.co/Yt26DSRo88 via @YouTube 
#BolsonaroNoJN",
20,Bolsonaro,Tue Aug 23 23:46:17 +0000 2022,"Assim mesmo
#BolsonaroNoJN 
#BolsonaroMentiroso https://t.co/JWVxT5TqD0",
21,Bolsonaro,Tue Aug 23 23:46:06 +0000 2022,@OGloboPolitica Fazer política criando mais impostos em cima de empresários que já sustentam o país nas costas.… https://t.co/h3KukqeHXD,
22,Bolsonaro,Tue Aug 23 23:45:52 +0000 2022,"Na entrevista com presidente foi gravado
Hoje está ao vivo
Pq?

#bonner e #RenataVasconcellos ??

#O Bolsonaro… https://t.co/eDBMuUb0uB",
23,Bolsonaro,Tue Aug 23 23:45:16 +0000 2022,Quem assistiu ao debate de ontem com #BolsonaroNoJN e está assistindo hoje com #CiroNoJN consegue ver claramente a… https://t.co/fJcVuFcr3A,-1
24,Bolsonaro,Tue Aug 23 23:44:54 +0000 2022,"#ochoroélivre #bolsonaro #fiqueemcasasepuder Se puder nunca existiu ,Se não fosse o #presidentebolsonaro teria sido… https://t.co/Yf1GUFDBdM",
25,Bolsonaro,Tue Aug 23 23:44:11 +0000 2022,"Nessa entrevista, a @tvglobo mostrou no início que faz campanha contra o @jairbolsonaro. Bonner fez questão de fala… https://t.co/5Nsr4AWmQ3",
26,Bolsonaro,Tue Aug 23 23:44:00 +0000 2022,"Engana bem , isso sim... fala bonitinho... com calma e sem pressao da globe #CiroNoJN  #BolsonaroNoJN #globolixo",
27,Bolsonaro,Tue Aug 23 23:43:43 +0000 2022,"#CiroNoJN é melhor que #BolsonaroNoJN, Ciro Gomes é mais inteligente e tem muitas ideias grandiosas.",
28,Bolsonaro,Tue Aug 23 23:42:23 +0000 2022,A diferença que os canalhas fazem a entrevista de Ciro Gomes é totalmente diferente que a de Bolsonaro. Que merda d… https://t.co/NAdHzE1YUr,
29,Bolsonaro,Tue Aug 23 23:42:06 +0000 2022,Forma de governo por meio de plebiscito????? #CiroNoJN  #BolsonaroNoJN #globolixo,
30,Bolsonaro,Tue Aug 23 23:39:13 +0000 2022,Hummmm @realwbonner ontem estava tão raivoso e hoje tá tão tchutchuco do Cirão! @cirogomes 🤡#BolsonaroNoJN,
31,Bolsonaro,Tue Aug 23 23:39:11 +0000 2022,Uai hj o entrevistado está podendo falar #CiroNoJN #BolsonaroNoJN #globolixo,
32,Bolsonaro,Tue Aug 23 23:37:51 +0000 2022,Hoje o Bonner está menos nervoso.  Será que a camoanha do Bolsonaro vai entrar com direito de resposta em razão do… https://t.co/JVLuoOY1nG,
33,Bolsonaro,Tue Aug 23 23:37:20 +0000 2022,"Até agora pensando como a ""figura de linguagem"", ""virar jacaré"" tem a ver com literatura portuguesa (???)… https://t.co/PLrT84OucE",
34,Bolsonaro,Tue Aug 23 23:36:49 +0000 2022,Sobre #bolsonaronojn e sobre a #covid19 nas #eleicoes2022 https://t.co/ckpUVYCqw7,
35,Bolsonaro,Tue Aug 23 23:35:58 +0000 2022,"Ontem a entrevista foi gravada, hoje ao vivo
🤔
Pq #bonner e #vasconcellos ???

#O Bolsonaro #BolsonaroNoJN… https://t.co/ysBSuqcXcq",1
36,Bolsonaro,Tue Aug 23 23:35:12 +0000 2022,"Bolsonaro irá ao Ratinho nesta quinta-feira (26), mesmo dia da sabatina de Lula no Jornal Nacional.

#BolsonaroNoJN #BolsonaroNoFlow",
37,Bolsonaro,Tue Aug 23 23:34:39 +0000 2022,"Eu não acredito nessa ordem de sorteio nas entrevistas, visto que a terça-feira e na quinta são os dias de maior au… https://t.co/utxyXQ6Lor",1
38,Bolsonaro,Tue Aug 23 23:27:43 +0000 2022,"Imagine conviver com uma pessoa, no seu dia-a-dia, que se comporta como Bolsonaro na entrevista ao JN: sempre menti… https://t.co/hjhcaTLSyo",
39,Bolsonaro,Tue Aug 23 23:24:48 +0000 2022,Não culpo as pessoas por não saberem que o Presidente não zombou de ninguém com falta de ar. Afinal anos de educaçã… https://t.co/qyCf3DQuJf,
40,Bolsonaro,Tue Aug 23 23:22:17 +0000 2022,"A COISA VAI AZEDAR PARA O DANONES!!!!
#BolsonaroNoJN #BolsonaroReeleitoEm2022 #CiroNoJN #VoteBolsonaro22 #Rica… https://t.co/Tl9Gdae0k8",1
41,Bolsonaro,Tue Aug 23 23:21:46 +0000 2022,"O Alexandre conseguiu criar um 'túnel do tempo', em poucas horas você sai do Brasil e se depara em Cuba, Venezuela,… https://t.co/eIxHMuZpkC",
42,Bolsonaro,Tue Aug 23 23:19:56 +0000 2022,"Será que a #GloboLixo vai ter #OpenBar para o cachaceiro?
 A #RenataMentirosa vai perguntar para o #LulaLadrão onde… https://t.co/uhVNNoSV68",
43,Bolsonaro,Tue Aug 23 23:19:48 +0000 2022,Isso não pode chegar ao Brasil! #bolsonaro2022 #lulaladrao #BolsonaroNoJN #BolsonaroReeleitoEm2022 #GloboLixo https://t.co/jsrV5k0VGz,
44,Bolsonaro,Tue Aug 23 23:18:48 +0000 2022,"@gleisi Pesquisem sobre:
- Nicarágua (esquerda)
- Argentina (esquerda)
- Colômbia (esquerda)
- Dario Messer (doleir… https://t.co/OvbzAkeQO8",
45,Bolsonaro,Tue Aug 23 23:18:16 +0000 2022,Vamos ver se a Renata Vasconcelos vai perguntar pro Lula onde tava a compaixão pra dizer que o coronga era um prese… https://t.co/753Wa4ioey,
46,Bolsonaro,Tue Aug 23 23:17:54 +0000 2022,"e o tal debate?
#BolsonaroNoJN",
47,Bolsonaro,Tue Aug 23 23:07:32 +0000 2022,"@Mleitaonetto Falta de vergonha na cara dizer uma coisa dessas seu Matheus. 
#BolsonaroNoJN https://t.co/WIxqhB9uoZ",
